frameno,prompt,2d-zoom,2d-angle,2d-transformcenterx,2d-transformcentery,shared-translationx,shared-translationy,3d-translationz,3d-rotationx,3d-rotationy,3d-rotationz
550,"Among the bustling city streets, towering megastructures house sprawling arcades filled with holographic entertainment and interactive displays. Advanced robots and androids go about their tasks, seamlessly interacting with humans. A monorail zips above, connecting the different levels of the city, while massive holographic billboards showcase products and events in stunning detail. Sci-fi, advanced technology, bustling city, futuristic, style of Lotte Reiniger",,,0.6,0.5,,2,,,,
600,,,0,,0.6,0,1,,0,,
650,"Hidden within the heart of the futuristic city is an ancient and powerful magical artifact known as the Chrono Crystal. The crystal emits a pulsating energy that warps the fabric of time around it. It is encased in an intricate, ornate pedestal that hovers above the ground, surrounded by a faint aura of shimmering light. Sci-fi and fantasy intertwine as the artifact becomes a focal point of intrigue and mystery. Mythical artifact, pulsating energy, time manipulation, style of Alan Lee, style of Harvey Kurtzman",0.99,0.4,,0.7,-1,0,,-1,,
700,"In an unexpected turn, the serene forest transforms into a nightmarish landscape. The once majestic trees are now gnarled and twisted, casting eerie shadows in the pale moonlight. A dense fog clings to the ground, obscuring sinister figures that lurk in the darkness. Distant whispers and unsettling noises fill the air, sending shivers down your spine. Horror, nightmarish, foggy landscape, unsettling, style of Esteban Maroto, style of Coles Phillips, style of Bob Peak",,0,,,,,,,0,
750,,,,,0.6,0,,,,-1,
800,"Emerging from the shadows of the horror-infused landscape is an enigmatic and graceful fae creature. With luminous wings that shimmer like moonlight, the fae flits through the air, leaving trails of stardust in its wake. Its eyes hold ancient wisdom, and its presence carries an aura of both beauty and mystery. Fantasy and horror meld as the fae navigates this chilling realm. Mythical fae, luminous wings, ethereal, mysterious, style of Anton Pieck",,,,,0,0,,0,,
850,,1,,0.5,0.5,1,-1,,,,
900,,1.005,,,,,,,,0,
950,"As the fae creature moves through the haunted landscape, its delicate laughter and gentle touch have a calming effect, momentarily dispelling the sinister aura. The stardust it leaves behind shimmers like a protective barrier against the lurking shadows. The fae's connection to nature and magic becomes evident as it conjures tiny spheres of light that dance around it, illuminating the darkness. Fantasy and horror intertwine as the fae brings a glimmer of hope to this eerie realm. Mystical fae, protective aura, nature's magic, style of Norman Ackroyd, style of Beatrix Potter, style of Aristarkh Lentulov",,0,,,0,-2,,,0,
1000,"Within the haunted landscape, twisted trees loom overhead, their branches contorted into grotesque shapes. The ground is strewn with decaying leaves and ominous symbols etched into the earth. Eerie mist clings to the air, obscuring the path ahead and distorting the shapes of the lurking figures. Ghostly whispers grow louder, and the chilling wind carries a sense of impending dread. Horror, chilling atmosphere, twisted trees, ominous symbols, style of Bob Peak, style of Emily Balivet",,-0.5,0.6,,,0,,0,1,
1050,,,,0.7,,,,,-0.5,,
1100,"As you explore the futuristic city, towering skyscrapers pierce the sky, their sleek surfaces reflecting the vibrant neon lights that adorn the cityscape. Advanced holographic displays offer real-time information and entertainment, creating a dynamic visual symphony. Automated transportation systems seamlessly navigate the intricate web of elevated walkways and suspended roads. The city pulses with energy, and the hum of technology is the heartbeat of this metropolis. Sci-fi, futuristic architecture, holographic displays, automated transport, style of John James Audubon",1,-0.6,0.8,,0,,,,0,
1150,,0.995,-0.8,,0.4,1,0,,-1,,
1200,"Amid the futuristic city, a high-tech battle unfolds between mechanized soldiers and towering combat mechs. Blasts of energy weapons and explosive ordinance light up the night sky, casting reflections on the gleaming surfaces of skyscrapers. Holographic shields shimmer as they absorb incoming fire, while agile drones dart through the chaos, providing reconnaissance and support. The clash of technology and firepower creates a dazzling and intense spectacle. Sci-fi, high-tech battle, energy weapons, combat mechs, style of Naoto Hattori, style of Android Jones",0.9,-0.2,,,,1,,,,
1250,,0.995,0,0.7,,0,-1,,-2,,
1300,"Amidst the chaos of battle, a valiant and determined hero emerges. Clad in futuristic armor that gleams with a protective energy aura, the hero wields a plasma sword that crackles with power. With unwavering courage, they lead a charge against the mechanized enemies, their every move precise and strategic. Their leadership inspires hope among their allies as they press forward, determined to bring victory to their city. Sci-fi, heroic character, futuristic armor, plasma sword, style of Mattias Adolfsson, style of Lotte Reiniger, style of Scott Naismith",1,,,0.3,0,0,,-0.5,0,
1350,"In the heart of the sci-fi battle, the heroic character faces off against a colossal combat mech. With a determined expression, they unleash a devastating strike from their plasma sword, slicing through the mech's armor with a blinding burst of energy. The mech staggers, its systems failing as sparks fly, and it crashes to the ground in a cloud of debris. The tide of battle shifts as the heroic character's actions rally their allies, filling the air with renewed determination. Sci-fi, pivotal moment, plasma sword strike, combat mech, style of Santiago Caruso, style of Android Jones",1.1,,0.6,,-1,,,,-1,
1400,,1,0,0.5,,,,,0,,
1450,"As the battle subsides, a mysterious portal opens in the midst of the futuristic city. From its shimmering depths emerges a group of interdimensional travelers, each adorned in unique and exotic attire. They bring with them advanced technology that defies the laws of physics, and their presence sparks curiosity and intrigue among the city's inhabitants. The boundary between dimensions blurs, and the sci-fi narrative takes an unexpected turn into the realm of multiverse exploration. Sci-fi, interdimensional travelers, advanced tech, portal, style of Beatrix Potter, style of Alfred Kubin",0.99,-0.3,0.4,0.2,,0,,0,-2,
1500,,,-0.1,,,0,-2,,-2,-1,
1550,"The heroic character, known as Captain Orion, possesses a rich history as a former space-faring explorer. Their armor bears the scars of countless battles, each mark a testament to their unwavering commitment to protecting the city. Captain Orion's plasma sword is a relic from their past, a weapon infused with the essence of a dying star. With a charismatic and resolute demeanor, they lead not only with strategic brilliance but also with an empathetic understanding of their allies' strengths. Sci-fi, heroic character, space-faring history, plasma sword, charismatic leadership, style of Erin Hanson",0.995,0,0.5,0.5,,-1,,-1,0,
1600,,,,,,0,0,,0,,
1650,"The arrival of the interdimensional travelers opens up new possibilities for the city's inhabitants. As they share their knowledge of alternate realities and advanced technologies, a collaborative effort unfolds to establish a gateway between dimensions. The portal becomes a nexus of exploration, connecting the city to countless other worlds, each with its own unique landscapes, cultures, and mysteries. Scientists, adventurers, and diplomats flock to the portal, eager to journey into the unknown and forge connections with beings from across the multiverse. Sci-fi, multiverse exploration, gateway to other worlds, collaboration, style of Guweiz",,,,,1,,,,0,
1700,,,0,,,2,,,,-1,
1750,"Within the multiverse exploration hub, a foreboding darkness begins to seep through the portal, corrupting the once vibrant atmosphere. The interdimensional travelers' technology malfunctions, and eerie whispers echo through the air. The city's inhabitants feel a growing sense of unease as shadows lengthen and twisted apparitions materialize in the corners of their vision. Horror, creeping darkness, corrupted technology, eerie whispers, style of Francesco del Cossa",0.99,-0.3,0.4,0.6,0,0,,0,,
1800,,,-0.1,,,,1,,1,,
1850,"As the darkness intensifies, a series of nightmarish illusions plague the minds of those within the exploration hub. Haunting visions of their deepest fears materialize around them, causing panic and chaos. The once bustling hub now feels like a labyrinth of dread, with shifting corridors and unsettling whispers that seem to come from nowhere. Sanity wavers as the line between reality and nightmare blurs, and the inhabitants struggle to find a way to dispel the malevolent forces at play. Horror, nightmarish illusions, shifting corridors, unsettling whispers, style of Beatrix Potter, style of Scott Naismith, style of Esteban Maroto",1,,,0.7,,0,,2,,
1900,,1.005,0,,,0,,,1,0,
1950,"As the interdimensional travelers' technology falters further, the city's energy sources start to flicker, casting eerie shadows on the streets. An unsettling resonance fills the air, and the portal itself emits a faint, ominous hum. The inhabitants' attempts to decipher the source of these disturbances only yield more questions than answers. Horror, faltering energy, ominous resonance, unsettling shadows, style of Lotte Reiniger, style of Barry McGee",,,,0.8,1,,,,,
2000,,,,0.5,,,,,0,0,
2050,,,,,,,,,,-1,
2100,"Among the interdimensional travelers, a mysterious figure known as the Emissary emerges. Cloaked in shadows, the Emissary possesses an aura of enigmatic power. They offer cryptic warnings of an impending cataclysm, claiming that the multiverse's fabric is unraveling. Whispers of uncertainty spread among the inhabitants as they grapple with the dire implications of the Emissary's words. Horror, enigmatic figure, cryptic warnings, unraveling fabric, style of Daniel Merriam",,0,0.6,0.7,0,,,0,0,
2150,"Desperation and fear grip the city as the multiverse exploration hub descends into chaos. The once-cohesive group of inhabitants fractures into factions with differing beliefs about the cause of the disturbances. Clashes erupt as tensions rise, with some advocating to close the portal while others remain adamant about uncovering its mysteries. Horror, desperation, factions, clashes, style of Ambrosius Holbein, style of Rebecca Guay, style of Greg Rutkowski",1.05,0.5,,,0,0,,-1,1,
2200,,,,,,-1,1,,0,0,
2250,"The portal's instability reaches a critical point, unleashing a surge of malevolent energy that engulfs the city. Reality warps, and the lines between dimensions blur as monstrous creatures and twisted landscapes merge with the familiar surroundings. The inhabitants find themselves trapped in a nightmarish amalgamation of their worst fears, struggling to discern what is real. Horror, portal instability, merging dimensions, nightmarish amalgamation, style of Francesco Francavilla, style of Coles Phillips",,0,0.7,,-2,,,1,,
2300,,1.1,,0.6,0.6,,0,,,0,
2350,"In a desperate bid for salvation, Captain Orion rallies the heroic character and the remaining interdimensional travelers. With their combined strengths, they uncover ancient texts that reveal the portal's true purpose: to restore balance to the multiverse by confronting the malevolent entity lurking within. As the city's last hope, they set out on a perilous journey into the heart of the nightmare. Sci-fi and horror converge in a final confrontation. Mythical artifacts, interdimensional journey, perilous quest, style of Norman Rockwell, style of Mattias Adolfsson, style of HR Giger",,,,,-1,,,,1,
2400,,1.005,,0.5,,0,0,,0,0,
2450,"Within the heart of the portal's nightmarish realm, the heroic character and their allies face the malevolent entity, a manifestation of chaos and fear. The battle tests their resolve and unity as they navigate a shifting landscape of surreal horrors. Plasma sword clashes with eldritch energies, and as the battle reaches its crescendo, the fate of the multiverse hangs in the balance. Sci-fi and horror meld in an epic showdown. Epic battle, eldritch energies, shifting landscape, style of Francesco del Cossa, style of John Atkinson Grimshaw, style of Marcin Jakubowski",1,,,,,1,,,,
2500,,0.995,,,0.5,,0,,,,
2550,"As the heroic character and their allies finally overcome the malevolent entity, a wave of relief washes over the city. The darkness recedes, and the portal stabilizes once more. However, scars of the ordeal remain, as the city's inhabitants grapple with the trauma of the nightmarish experiences they endured. Yet, unity and newfound understanding emerge from the ashes, and the city begins to heal. Sci-fi, horror, unity, healing, style of Jacek Yerka, style of Esteban Maroto, style of Alexander Jansson",,,,,,,,,,
2600,,,,,,,,,,,
